GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1000000US120730025102008,120730025102008,"Block 2008, Block Group 2, Census Tract 25.10, Leon County, Florida",56,26,4,2,1,0,0,0,0,1,3,7,1,2,0,3,1,0,1,0,0,0,0,0,0,30,3,2,1,0,1,0,1,0,6,5,3,3,1,1,1,2,0,0,0,0,0,0,0
1000000US120730025102009,120730025102009,"Block 2009, Block Group 2, Census Tract 25.10, Leon County, Florida",58,23,2,0,2,0,1,0,0,0,8,6,0,0,0,0,2,1,0,0,1,0,0,0,0,35,5,0,0,0,0,0,0,0,11,3,1,1,0,3,7,0,2,1,1,0,0,0,0
1000000US120730025102010,120730025102010,"Block 2010, Block Group 2, Census Tract 25.10, Leon County, Florida",19,10,1,1,1,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
1000000US120730025102011,120730025102011,"Block 2011, Block Group 2, Census Tract 25.10, Leon County, Florida",19,5,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,3,1,2,1,3,1,0,1,0,0,0,0,0,0
1000000US120730025102012,120730025102012,"Block 2012, Block Group 2, Census Tract 25.10, Leon County, Florida",499,240,20,15,16,7,7,0,4,10,30,28,19,21,11,13,12,4,4,4,2,8,3,0,2,259,18,10,19,6,1,2,1,9,33,26,23,14,13,12,25,11,9,6,3,6,5,4,3
1000000US120730025102013,120730025102013,"Block 2013, Block Group 2, Census Tract 25.10, Leon County, Florida",5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1000000US120730025102014,120730025102014,"Block 2014, Block Group 2, Census Tract 25.10, Leon County, Florida",3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1000000US120730025102015,120730025102015,"Block 2015, Block Group 2, Census Tract 25.10, Leon County, Florida",13,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
1000000US120730025102016,120730025102016,"Block 2016, Block Group 2, Census Tract 25.10, Leon County, Florida",65,25,1,0,1,0,2,0,0,0,2,4,3,2,3,3,2,0,0,0,1,1,0,0,0,40,3,4,2,1,0,1,0,1,5,1,5,6,2,0,1,2,1,0,1,1,1,2,0
1000000US120730025102017,120730025102017,"Block 2017, Block Group 2, Census Tract 25.10, Leon County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
